DATE,CPU_Ryzen5-3400g,RAM_HyperxFury8Gb,MB_Prime450m,SSD_WD240gb,PS_EVGA400w,TOTAL
02/09/2020,1259.9,272.9,669.9,269.9,229.9,2702.5000000000005
05/09/2020,1049.9,278.9,669.9,249.9,249.9,2498.5000000000005
06/09/2020,1049.9,278.9,669.9,249.9,249.9,2498.5000000000005
07/09/2020,1049.9,278.9,669.9,249.9,249.9,2498.5000000000005
09/09/2020,1049.9,289.9,669.9,249.9,249.9,2509.5000000000005
10/09/2020,1049.9,289.9,669.9,249.9,249.9,2509.5000000000005
11/09/2020,1049.9,289.9,669.9,249.9,249.9,2509.5000000000005
12/09/2020,1259.9,289.9,669.9,249.9,249.9,2719.5000000000005
13/09/2020,1259.9,289.9,669.9,249.9,249.9,2719.5000000000005
14/09/2020,1099.9,289.9,669.9,249.9,224.9,2534.5000000000005
18/09/2020,975.9,289.9,729.9,299.9,224.9,2520.5
23/09/2020,999.9,289.9,729.9,249.9,219.9,2489.5
25/09/2020,999.9,289.9,899.9,249.9,219.9,2659.5
26/09/2020,999.9,289.9,899.9,249.9,219.9,2659.5
28/09/2020,949.9,262.9,899.9,239.9,219.9,2572.5
29/09/2020,999.9,289.9,899.9,249.9,219.9,2659.5
